ID,speciescode,speciesname,sub_unit,assessment_code_EU,assessment_specname_EU,season,assessment_code_trend_breeding,assessment_specname_trend_breeding,assessment_code_trend_wintering,assessment_specname_trend_wintering,addtionnal_record
605,A740,Hippolais pallida,,22705002,Hippolais opaca,B,22734747,Hippolais pallida,,,True
584,A693,Puffinus mauretanicus,,111111,Puffinus puffinus mauretanicus (Puffinus mauretanicus),B,,,,,True
593,A037,Cygnus columbianus bewickii,Western Siberia & NE Europe/North-west Europe,111112,Cygnus columbianus bewickii,W,,,,,True
591,A453,Pyrrhula murina,,111113,Pyrrhula murina (Pyrrhula pyrrhula murina),B,,,,,True
595,A414,Perdix perdix italica,,111126,Perdix perdix italica,B,,,,,True
596,A415,Perdix perdix hispaniensis,,111127,Perdix perdix hispaniensis,B,,,,,True
597,A466-A,Calidris alpina schinzii,Britain & Ireland/SW Europe & NW Africa,111129,Calidris alpina schinzii (Britain & Ireland),B,,,,,True
598,A466-B,Calidris alpina schinzii,Baltic/SW Europe & NW Africa,111130,Calidris alpina schinzii (Baltic),B,,,,,True
604,A419,Uria aalge ibericus,,111131,Uria aalge ibericus,B,,,,,True
599,A421,Columba palumbus azorica,,111132,Columba palumbus azorica,B,,,,,True
600,A427,Dendrocopos major canariensis,,111133,Dendrocopos major canariensis,B,,,,,True
601,A428,Dendrocopos major thanneri,,111134,Dendrocopos major thanneri,B,,,,,True
602,A434,Troglodytes troglodytes fridariensis,,111135,Troglodytes troglodytes fridariensis,B,,,,,True
603,A469,Certhia brachydactyla dorotheae,,111137,Certhia brachydactyla dorotheae,B,,,,,True
594,A470,Parus ater cypriotes,,111136,Parus ater cypriotes,B,,,,,True
590,A448,Fringilla coelebs ombriosa,,111138,Fringilla coelebs ombriosa,B,,,,,True
357,A303,Sylvia conspicillata,,22716976,Sylvia conspicillata,B,22716976,Sylvia conspicillata,,,False
358,A308,Sylvia curruca,,22716915,Sylvia curruca,B,22716915,Sylvia curruca,,,False
359,A306,Sylvia hortensis,,22716942,Sylvia hortensis,B,22716942,Sylvia hortensis,,,False
360,A305,Sylvia melanocephala,,22716959,Sylvia melanocephala,B,22716959,Sylvia melanocephala,,,False
361,A468,Sylvia melanothorax,,22716963,Sylvia melanothorax,B,22716963,Sylvia melanothorax,,,False
362,A307,Sylvia nisoria,,22716937,Sylvia nisoria,B,22716937,Sylvia nisoria,,,False
363,A301,Sylvia sarda,,22716987,Sylvia sarda,B,22716987,Sylvia sarda,,,False
364,A228,Tachymarptis melba,,22686774,Tachymarptis melba,B,22686774,Tachymarptis melba,,,False
365,A397-A,Tadorna ferruginea,North-west Africa,22680003,Tadorna ferruginea,B,22680003,Tadorna ferruginea,,,False
366,A397-B,Tadorna ferruginea,East Mediterranean & Black Sea/North-east Africa,22680003,Tadorna ferruginea,B,22680003,Tadorna ferruginea,,,False
367,A397-X,Tadorna ferruginea,,,,,,,,,False
368,A048,Tadorna tadorna,,22680024,Tadorna tadorna,B,22680024,Tadorna tadorna,22680024,Tadorna tadorna,False
369,A534,Tarsiger cyanurus,,22709733,Tarsiger cyanurus,B,22709733,Tarsiger cyanurus,,,False
370,A333,Tichodroma muraria,,22711234,Tichodroma muraria,B,22711234,Tichodroma muraria,,,False
371,A161,Tringa erythropus,,22693207,Tringa erythropus,B,22693207,Tringa erythropus,,,False
372,A166,Tringa glareola,,22693247,Tringa glareola,B,22693247,Tringa glareola,,,False
373,A164,Tringa nebularia,,22693220,Tringa nebularia,B,22693220,Tringa nebularia,,,False
374,A165,Tringa ochropus,,22693243,Tringa ochropus,B,22693243,Tringa ochropus,,,False
375,A163,Tringa stagnatilis,,22693216,Tringa stagnatilis,B,22693216,Tringa stagnatilis,,,False
376,A162,Tringa totanus,,22693211,Tringa totanus,B,22693211,Tringa totanus,22693211,Tringa totanus,False
377,A286,Turdus iliacus,,22708819,Turdus iliacus,B,22708819,Turdus iliacus,,,False
378,A283,Turdus merula,,22708775,Turdus merula,B,22708775,Turdus merula,,,False
379,A285,Turdus philomelos,,22708822,Turdus philomelos,B,22708822,Turdus philomelos,,,False
380,A284,Turdus pilaris,,22708816,Turdus pilaris,B,22708816,Turdus pilaris,,,False
381,A282,Turdus torquatus,,22708768,Turdus torquatus,B,22708768,Turdus torquatus,,,False
382,A287,Turdus viscivorus,,22708829,Turdus viscivorus,B,22708829,Turdus viscivorus,,,False
