"bgreporthash","monitoring_title","monitoring_year","monitoring_reference"
"b7fe8dd2ed923dd730a883bbfe2d841c","El aguilucho lagunero en España. Población en 2006 y método de censo",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/18_aguilucho_lagunero_2006_tcm7-218231.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Las aves comunes reproductoras en España. Población en 2004-2006",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/19_paseriformes_2004_2006_tcm7-218232.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","El halcón de Eleonora en España Población en 2004-2007 y método de censo",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/20_halcon_eleonora_2007_tcm7-218233.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","La grulla común invernante en España Población en 2007 y método de censo",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/21_grulla_2007_2008_tcm7-218234.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Gaviotas cabecinegra, picofina, de Audouin y tridáctila, y gavión atlántico en España. Población en 2007 y método de censo.",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/22_gaviotas_cabecinegra_picofina_de_aouduin_y_tridactila_y_gavion_atlantico_2007_tcm7-218241.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Tarro canelo, cerceta pardilla, porrón pardo, malvasía cabeciblanca y focha moruna en España. Población en 2007 y método de censo",2008,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/23_tarro_blanco_cerceta_pardilla_porron_monudo_malvasia_y_focha_moruna_tcm7-218235.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Pagazas, charranes y fumareles en España Población reproductora en 2007 y método de censo",2009,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/24_pagazas_charranes_y_fumareles_tcm7-218236.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","El morito, la espátula y el flamenco en España. Población en 2007 y método de censo",2009,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/25_morito_espatula_y_flamenco_tcm7-218237.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Aves acuáticas reproductoras en España. Población en 2007 y método de censo",2009,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/26_aves_acuaticas_reproductoras_tcm7-218238.pdf"
"b7fe8dd2ed923dd730a883bbfe2d841c","Gaviota reidora, sombría y patiamarilla en España. Población en 2007-2009 y método de censo",2009,"http://www.magrama.gob.es/es/biodiversidad/temas/inventarios-nacionales/27_gaviotas_reidora_sombria_y_patiamarilla_tcm7-218239.pdf"
