"bgreporthash","other_publication_title","other_publication_year","other_publication_reference"
"d73a8fda9dff245568a26477fcc1cbd9","A. Aradis, A. Andreotti, 2012. A preliminary overview of monitoring for raptors in Italy. Acrocephalus 33 (154/155): 297−300, 2012. Review of the monitoring activities on bird of prey carried out in Italy.","2012","http://www.eurapmon.net/sites/default/files/eurapmon_acrocephalus_018_italy.pdf"
"d73a8fda9dff245568a26477fcc1cbd9","Piano d’azione per la salvaguardia e il monitoraggio della Gallina prataiola e del suo habitat in Sardegna 2011. (Drafted but not approved by the Regional Government). Regional Action Plan for the Little Bustard in Sardinia. Given the relevance of the Sardinian population in the national contest, the action plan is relevant for the conservation of the species in Italy.","2011","120420123354.pdf"
"d73a8fda9dff245568a26477fcc1cbd9","Andreotti A., Borghesi F. 2012. Il piombo nelle munizioni da caccia: problematiche e possibili soluzioni. Rapporti ISPRA, 158/2012. Review of threats for birds related to the use of lead in hunting ammunition and possible solutions.","2012","http://www.isprambiente.gov.it/it/pubblicazioni/rapporti/il-piombo-nelle-munizioni-da-caccia-problematiche-e-possibili-soluzioni"
"d73a8fda9dff245568a26477fcc1cbd9","Spina F., Volponi S., 2008-2009. Atlante della migrazione degli uccelli in italia – Vol. I e II. Ministero dell’Ambiente e della Tutela del Territorio e del Mare, Istituto Superiore per la Ricerca e la Protezione Ambientale (ISPRA). Italian Atlas of Bird Migration. Ringing-recovery analyses referred to the period 1906-2003, based on more than 165,000 reports of ringed birds (316 species / taxa).","2009","http://www.isprambiente.gov.it/en/publications/luxury-publications/introduction-to-the-italian-bird-migration-atlas?set_language=en"
"630c6476f1dfef8436e65318ebb02ce9","Lietuvos paukščių pažinimo vadovas (Fieldguide of Lithuania Birds)","2012","Jusys, V., Karalius, S., Raudonikis, L. 2012. Lietuvos paukščių pažinimo vadovas. Kaunas: ""Lututė""."
"d78748a156d256d70d72e8dc82a7ab22","International Species Action Plan for the Aquatic Warbler Acrocephalus paludicola.","2008","http://www.otop.org.pl/uploads/media/wodniczka/international_aw_action_plan.pdf BirdLife International. 2008. International Species Action Plan for the Aquatic Warbler Acrocephalus paludicola."
"d78748a156d256d70d72e8dc82a7ab22","[Monitoring of breeding birds. Methodological guidelines concerning species protected by Birds Directive.]","2009","http://monitoringptakow.gios.gov.pl/publikacje Chylarecki P. (eds). 2009. Monitoring ptaków lęgowych. Poradnik metodyczny dotyczących gatunków chronionych Dyrektywą ptasią. GIOŚ, Warszawa."
"d78748a156d256d70d72e8dc82a7ab22","[Monitoring of waterbirds on passage. Methodological guidelines.]","2011","http://www.gdos.gov.pl/files/Materialy-i-publikacje/monitoring_ptakow_wodno-blotnych.pdf Sikora A. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOŚ, Warszawa."
"d78748a156d256d70d72e8dc82a7ab22","[Giudelines for assesing conservation status of birds'habitats within Special Protecion Areas.]","2013","http://bip.gdos.gov.pl/doc/ftp/2013/Publikacja.pdf Zawadzka D. (eds). 2013. Materiały do wyznaczania i określania stanu zachowania siedlisk ptasich w obszarach specjalnej ochrony ptaków Natura 2000. GDOŚ, Warszawa."
"d78748a156d256d70d72e8dc82a7ab22","Effect of mowing on productivity in the endangered Aquatic Warbler Acrocephalus paludicola.","2013","http://www.otop.org.pl/uploads/media/wodniczka/publikacje_naukowe_14.05.2013.pdf Kubacka J. (et al.). Effect of mowing on productivity in the endangered Aquatic Warbler Acrocephalus paludicola. 2013. Bird Conservation International. BirdLife International."
