"assessment_code_EU","assessment_specname_EU","season","Population_status","population_size_unit","PopSizeMin","PopSizeMax","PopSizeMinRnd","PopSizeMaxRnd","PopTrdSht","PopTrdLng","Contribution_target1","addtionnal_record"
22697109,"Bubulcus ibis","B","Secure","p",72122,84611,72100,84700,"-","u","A",False
22720513,"Bucanetes githagineus","B","Secure","p",10300,20500,10300,20500,"-","-","A",False
22680455,"Bucephala clangula","B","Secure","p",267902,381277,267000,382000,"-","+","A",False
22698132,"Bulweria bulwerii","B","Unknown","p",6050,6070,6000,6100,"x","+","E",False
45111439,"Burhinus oedicnemus","B","Depleted","p",47630,77605,47600,77700,"+","-","B",False
61695117,"Buteo buteo","B","Secure","p",528379,767807,528000,768000,"-","+","A",False
22695973,"Buteo lagopus","B","Threatened","p",2200,9200,2200,9200,"0","-","B",False
22736562,"Buteo rufinus","B","Secure","p",1317,2029,1300,2100,"+","+","A",False
22717304,"Calandrella brachydactyla","B","Depleted","p",1179595,1850948,1170000,1860000,"0","-","B",False
22717329,"Calandrella rufescens","B","Declining","p",240029,280054,240000,281000,"-","-","C",False
22721033,"Calcarius lapponicus","B","NearThreatened","p",138000,529000,138000,529000,"-","0","C",False
922693427,"Calidris alpina","B","Depleted","p",24212,41323,24200,41400,"0","-","B",False
22693420,"Calidris maritima","W","NearThreatened","i",16697,18159,16600,18200,"-","-","C",False
22693379,"Calidris minuta","W","Secure","i",14078,28418,14000,28500,"-","0","A",False
22693388,"Calidris temminckii","B","Depleted","p",6400,11600,6400,11600,"0","-","B",False
22732244,"Calonectris borealis","B","Unknown","p",252105,253430,252000,254000,"u","x","E",False
45061132,"Calonectris diomedea","B","Secure","p",29251,46153,29200,46200,"-","-","A",False
22689887,"Caprimulgus europaeus","B","Unknown","cmales",141739,279008,141000,280000,"x","u","E",False
22689875,"Caprimulgus ruficollis","B","Secure","cmales",101200,140300,101000,141000,"-","0","A",False
22725044,"Carduelis flammea","B","Secure","p",869534.666666667,2294197,869000,2300000,"-","-","A",False
22720441,"Carduelis cannabina","B","Declining","p",13765335.3333333,19038889,13700000,19100000,"-","-","C",False
22720419,"Carduelis carduelis","B","Secure","p",23524651.6666667,32546155,23500000,32600000,"0","0","A",False
22696042,"Aquila adalberti","B","Threatened","p",369,376,360,380,"+","+","B",False
22696060,"Aquila chrysaetos","B","Secure","p",4856,5700,4800,5700,"+","+","A",False
22696027,"Aquila clanga","B","Threatened","p",17,33,17,33,"-","-","C",False
22696076,"Aquila fasciatus","B","NearThreatened","p",1063,1167,1000,1200,"0","-","B",False
22696048,"Aquila heliaca","B","NearThreatened","p",192,247,190,250,"+","+","B",False
22696022,"Aquila pomarina","B","Secure","p",11498,15448,11400,15500,"-","+","A",False
