"assessment_code_trend","assessment_specname_trend","population_size_unit","WiPopSizeMin","WiPopSizeMax","WiPopSizeMinRnd","WiPopSizeMaxRnd","WiPopTrdSht","WiPopTrdLng"
22727487,"Charadrius alexandrinus","i",10386,22677,10300,22700,"0","+"
22693759,"Charadrius hiaticula","i",70832,79708,70800,79800,"F","F"
22693862,"Charadrius leschenaultii","i",25,60,25,60,"+","+"
22680427,"Clangula hyemalis","i",1228530,2272135,1220000,2280000,"-","-"
22679862,"Cygnus columbianus","i",19503,24495,19500,24500,"-","u"
22679856,"Cygnus cygnus","i",93322,122381,93300,123000,"+","+"
22679839,"Cygnus olor","i",171213,216951,171000,217000,"+","+"
62774969,"Egretta garzetta","i",28706,34084,28700,34100,"+","+"
22692913,"Fulica atra","i",2114189,2588196,2110000,2590000,"F","+"
22692907,"Fulica cristata","i",79,88,70,90,"F","F"
22697847,"Gavia adamsii","i",13,13,13,13,"x","x"
22697834,"Gavia arctica","i",4322,5567,4300,5600,"u","u"
22697842,"Gavia immer","i",4047,4262,4000,4300,"-","+"
22697829,"Gavia stellata","i",42296,43642,42200,43700,"+","u"
22692146,"Grus grus","i",218608,271608,218000,272000,"+","+"
22733462,"Haematopus ostralegus","i",845727,901670,845000,902000,"-","-"
22695137,"Haliaeetus albicilla","i",6342,11136,6300,11200,"+","+"
22727969,"Himantopus himantopus","i",10298,13124,10200,13200,"-","+"
22693158,"Limosa lapponica","i",108063,157955,108000,158000,"+","+"
22693150,"Limosa limosa","i",164695,255712,164000,256000,"+","+"
22680339,"Marmaronetta angustirostris","i",53,500,50,500,"F","F"
22724836,"Melanitta fusca","i",301635,518098,301000,519000,"F","x"
22724879,"Melanitta nigra","i",673598,792355,673000,793000,"+","F"
22680465,"Mergellus albellus","i",26897,44646,26800,44700,"F","+"
22680492,"Mergus merganser","i",119563,181120,119000,182000,"-","0"
22680485,"Mergus serrator","i",44513,59456,44500,59500,"-","F"
22695072,"Milvus milvus","i",38124,42151,38100,42200,"-","-"
