"pressurethreathash","specieshash","pressurecode","rankingcode","quality","location","sources"
"53447ce7c3501a88d87488bb1a4c11fd","a47d955930985690898deb8194da7ae9","B07","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"e1eb78bcf5d230a475e275e3ff18e18b","a47d955930985690898deb8194da7ae9","B02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"614468ea36f0a616d97dc0ff52dcb3c1","a47d955930985690898deb8194da7ae9","G02.09","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"3e69de55020b6f484457e66244dfcd4b","2461163524ca4bc60d404fdf8a1b1624","J02.05.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"fddbd75ccc76a98a7c284a6f0808f51c","2461163524ca4bc60d404fdf8a1b1624","J02.07.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ef16f97bbb696945cd3bf4be948f868a","2461163524ca4bc60d404fdf8a1b1624","A04.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"34882676b4cac648f4a548a106aa000d","1627f326fbab6e16c9918f3faf52be51","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"336a5ceee1396d578dabb64faf08270f","1627f326fbab6e16c9918f3faf52be51","J02.05.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"58ced1bb6e6c825b7e2ecbf47e113778","4926bc2e1f7688e5875b043142ddd7b4","A02.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4e52f9052f1901ab1716cce33bce1ca7","4926bc2e1f7688e5875b043142ddd7b4","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"810f2b4095def1a6773dd2d82bd9339b","4926bc2e1f7688e5875b043142ddd7b4","G01.03.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"be2e2405bf06fbdb573a6b6ac5317f36","4926bc2e1f7688e5875b043142ddd7b4","G04.02","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"da2acbeb9fdc3c430720c04eefe41931","4926bc2e1f7688e5875b043142ddd7b4","A04.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"a95250b0014aa8f8143af71cf529f1a6","4926bc2e1f7688e5875b043142ddd7b4","D01.02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"76390080bfecc31302435fd173de3039","4926bc2e1f7688e5875b043142ddd7b4","E02","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"19f98f68d41d40d7d1a8efa23ea8bbcb","f35f05daee072e62061052297721f22c","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"6dae2bfd53263759689d67714a0d93b5","f35f05daee072e62061052297721f22c","J03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"da0fcf68cdd4c20556a0ad4231d5066b","f35f05daee072e62061052297721f22c","A11","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"0d4b7a340bd31da288200516e3710a78","acd3eb4617a1a581c6b677de16b6af4a","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"2e71cef6b328903c5704d51865eb6425","acd3eb4617a1a581c6b677de16b6af4a","F02.03","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"d9ebf6640b5851a070c8ca815a415650","acd3eb4617a1a581c6b677de16b6af4a","J03.01","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"432878ad58c28d5fcfacf5b1e69bc54a","acd3eb4617a1a581c6b677de16b6af4a","H01","L",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"2cf17a4a29e963b55b88556a8866a8e8","cf33937218f22304b2199ec2bb9ba30d","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"86dea3f0dadcec522a9e3e1ca1101ff9","2c22abdd3033bea6c152036ef45e17aa","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"ab8cfc0cd8b8ac5ad91836bf433c028c","5d8bf4f1c218e29c208afa34a26c64b8","A02.03","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"4a400b3c4269874dd8ad4c53fbf50f62","5d8bf4f1c218e29c208afa34a26c64b8","A03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"c05c0e480c0586163be73f6748f26f23","5d8bf4f1c218e29c208afa34a26c64b8","J02.06","H",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"1776fc4bf2ae91225bf9444162e23085","5d8bf4f1c218e29c208afa34a26c64b8","J02.07","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"fbb80d6d7b5d5d237b5bb2547ef5951a","898ccab24afdc04093f03eed74a8ab5b","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"c01e4322470a00781a33a4d3041a0095","dca01e538dadb3c3425d55d9755c72db","F01.01","M",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"db5b7c0d2f8bbd95e607b993c700aef7","dca01e538dadb3c3425d55d9755c72db","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"b4accb62dca2d60a31e556458372eeab","dca01e538dadb3c3425d55d9755c72db","J02.06","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"21abec857fd6ec632253291a7b606357","cc34d294bda8face4b5009064d498280","A02.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"108845093b8c0b264ab02aabdf4197d3","cc34d294bda8face4b5009064d498280","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"0c3f6a50e7d2aa48207c02eeab4666d4","e8e1a6bcf256450f70e83c2a948b276e","A02.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
"293973d346ce023ea7159fb482c801ac","e8e1a6bcf256450f70e83c2a948b276e","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"257c88a07bfb7bc52e157995810778d8","021afb1e8d50486c91f5a444aa66acfe","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"49fcab10ebe1876a2c4bdd4fc4e7e7d3","fda17f0dbe4dea7f699c8414c71babfa","J02.05","H",3,"4","BirdLife Austria & conservation authorities, expert judgement"
"08f77c7a8742d6361d6aa3420f3651cb","4c5f1cad964a2624dd05651b4f6f25c0","C03.03","M",2,"4","BirdLife Austria & conservation authorities, expert judgement"
